"用例编号","模块","用例标题","操作步骤/请求","预期结果","优先级"
"API-S-01","API / Summary","合法 token + 默认 duration","GET /vla/operator-dashboard/summary?token=<valid>","200；success:true；data.duration=""30d""","P0"
"API-S-02","API / Summary","Authorization header","Authorization: Bearer <token>","200；与 query param 等价","P0"
"API-S-03","API / Summary","duration=7d","?duration=7d&token=<valid>","data.duration_label=""Last 7 days""","P0"
"API-S-04","API / Summary","duration=90d","?duration=90d&token=<valid>","data.duration_label=""Last 90 days""","P0"
"API-S-05","API / Summary","duration=1y","?duration=1y&token=<valid>","data.duration_label=""This year""","P0"
"API-S-06","API / Summary","duration=all","?duration=all&token=<valid>","data.duration_label=""All time""","P0"
"API-S-07","API / Summary","非法 duration","?duration=abc&token=<valid>","回退 30d；200 正常响应","P1"
"API-S-08","API / Summary","avg_qa_score 计算","有 3 个 SUCCEEDED upload，3 个 reviewer qa_score 分别 80/90/100（同轮次各 1 个）","avg_qa_score = 90.0（(80+90+100)/3）","P0"
"API-S-09","API / Summary","QA delta 正向","当期均值 > 上期均值","avg_qa_score_delta > 0","P1"
"API-S-10","API / Summary","QA delta 负向","当期均值 < 上期均值","avg_qa_score_delta < 0","P1"
"API-S-11","API / Summary","无 QA 数据","无 SUCCEEDED upload","avg_qa_score: null；avg_qa_score_delta: null","P1"
"API-S-12","API / Summary","total_episodes 计数","DB 有 10 个 episode（含所有状态）","total_episodes = 10","P0"
"API-S-13","API / Summary","avg_hrs_per_day 固定窗口","30d 内所有 episode 总 video_duration_hours = 60h","avg_hrs_per_day = 2.0（60/30）","P0"
"API-S-14","API / Summary","avg_hrs_per_day = all","首条上传距今 10 天，总时长 5h","avg_hrs_per_day = 0.5（5/10）","P1"
"API-S-15","API / Summary","qa_score_trend 分组 — 7d","duration=7d；有周一至周日数据","label 格式为 Mon/Tue 等星期缩写","P1"
"API-S-16","API / Summary","qa_score_trend 分组 — 30d","duration=30d","label 格式为 dd mon，如 13 may","P1"
"API-S-17","API / Summary","qa_score_trend 分组 — 1y","duration=1y","label 格式为 yyyy mon，如 2026 may","P1"
"API-S-18","API / Summary","episode_hrs_trend 正确性","有时长数据","每桶 hrs ≥ 0；与 SUM(video_duration_hours) 一致","P1"
"API-S-19","API / Summary","无 token","无 Authorization header 且无 ?token=","400；msg: token is required","P0"
"API-S-20","API / Summary","非法 token","?token=invalid_hash","401；msg: invalid token","P0"
"API-U-01","API / Uploads","基本请求","GET /vla/operator-dashboard/uploads?token=<valid>","200；success:true；data 为数组；含 pagination 和 machines","P0"
"API-U-02","API / Uploads","分页默认 page=1","无 page 参数","返回最多 10 条（默认 page_size=10）","P1"
"API-U-03","API / Uploads","page_size=5","?page_size=5","返回最多 5 条","P0"
"API-U-04","API / Uploads","page=2","?page=2&page_size=5","返回第 6–10 条（按 created_at 倒序）","P0"
"API-U-05","API / Uploads","page_size 上限","?page_size=100","实际返回 ≤ 50（后端 min(50, page_size)）","P1"
"API-U-06","API / Uploads","page_size 非整数","?page_size=abc","400；msg: invalid pagination params","P0"
