Environment,Scenario,Objects,Details Description,Task Variators,General Variators,Notes,Wave,Complexity,Difficulty,Action
Home,Fold clothes,"Clothes, pants, jackets, towels, sheets","The robot takes mixed laundry from a hamper, neatly folds it, and stacks it in piles according to type","- Items in the hamper
- Introduce bulky items (jackets, etc.)
- Introduce other types (towels, sheets)","Work surface
Backgrounds
Starting/Receiving containers
Lighting
Handedness
Trajectory
Environmental distractors
Active distractors",Ubiquitous scenario; compact and easy to set up. Anchor task,1,,,Anchor task
Home,Block manipulation,"Wooden blocks, LEGOs",Robot builds various structures from toy wooden blocks or LEGOs according to a diagram of the structure,"- Structure being built
- Block type (wooden, LEGO)
- Diagram complexity","Work surface
Backgrounds
Starting/Receiving containers
Lighting
Handedness
Trajectory
Environmental distractors
Active distractors",High dexterity required; tests spatial reasoning and precision,2,,,Complexity
Home,Tighten a loose pipe / unscrew pipe,"Pipe, wrench, pliers",Vary pipe types and ways of unscrewing/screwing,"- Pipe type and size
- Tool type (wrench, pliers)
- Tightening vs loosening direction","Work surface
Backgrounds
Starting/Receiving containers
Lighting
Handedness
Trajectory
Environmental distractors
Active distractors",Tests controlled force application and grip,2,,,"Force, Dexterity"
Home,Sort toothbrushes into cups,"Toothbrushes, basket, cups, small containers",The robot picks out various toothbrush items from a basket and places them into cups or other small containers,"- The brands, colors, etc. of each toothbrush
- The shape and material of the cup","Work surface
Backgrounds
Starting/Receiving containers
Lighting
Handedness
Trajectory
Environmental distractors
Active distractors","Long, thin objects require precise grip orientation",1,,,Dexterity
Home,Sort toys by category,"Small toys (blocks, plushes, toy cars), basket, sorting containers","The robot sorts small toys (blocks, plushes, toy cars, …) from a basket into a few containers by type. The sorting is a blind start (the robot does not know the categories or the number of categories, building them up as it goes along)","- The type and appearance of each toy
- The mix of categories
- The number of categories
- The presence of distractors (toys not in any category)","Work surface
Backgrounds
Starting/Receiving containers
Lighting
Handedness
Trajectory
Environmental distractors
Active distractors",Blind-start sorting with highly varied object shapes and textures,3,,,"Complexity, Dexterity"
Home,Arrange flowers in vase and place on shelf,"Flowers, basket, vases, shelf","The robot arranges flowers from a basket into vases, then places the vases onto a shelf","- The type of flowers
- The type of vase
- The distribution of the flowers in the basket and the vase
- Distractors: dead/ugly flowers that shouldn't go in the vase, loose twigs","Work surface
Backgrounds
Starting/Receiving containers
Lighting
Handedness
Trajectory
Environmental distractors
Active distractors",Two-phase task: arrange flowers then place vase; distractors add difficulty,1,,,"Dexterity, Complexity"
Home,Sort medicine bottles by pill shape,"Transparent medicine bottles, pills, sorting bins","The robot sorts medicine bottles by pill shape. For each bottle, it holds the bottle in a position where the overhead camera can clearly see it, then places the bottle into the appropriate bin. The sorting is a blind start (the robot does not know the categories or the number of categories, building them up as it goes along)","- The type of bottle: vary size and material (all must be transparent)
- The type of pill — at least 7 different types
- The distribution of bottles in each run
- The number of pills in each bottle","Work surface
Backgrounds
Starting/Receiving containers
Lighting
Handedness
Trajectory
Environmental distractors
Active distractors",Requires overhead camera positioning; blind-start sorting with visual inspection step,2,,,"Complexity, Dexterity"
Home,Sort slippers into bins by color/type,"Slippers, large source bin, small sorting bins",Sort slippers by color/type from a large bin into a few smaller bins,"- The brand, colors, etc. of the slippers
- The mix of slippers in the bin","Work surface
Backgrounds
Starting/Receiving containers
Lighting
Handedness
Trajectory
Environmental distractors
Active distractors",Deformable/soft objects; sorting by visual attribute (color/type),2,,,Complexity
Home - kitchen,Decant liquids,"Pitcher, cup, soup pot, bowl","Pour liquids from one vessel to another without spilling (pitcher to cup, soup from pot to bowl)","- Vessel shape and size
- Liquid viscosity (water, soup, juice)
- Pouring height and angle","Work surface
Backgrounds
Starting/Receiving containers
Lighting
Handedness
Trajectory
Environmental distractors
Active distractors",Focus on precision pouring and spill prevention,1,,,Liquids
Home - kitchen,Organize dishwasher / dish rack,"Dishes, plates, cups, cookware",Take washed dishes from sink and place them neatly in a dish rack to dry. Vary dishes/cups and organization,"- The type/number/color of each dish
- Introduce other cookware (mugs, pots, pans)
- Rack configuration","Work surface
Backgrounds
Starting/Receiving containers
Lighting
Handedness
Trajectory
Environmental distractors
Active distractors",Requires spatial reasoning for optimal rack usage,4,,,Complexity
